TICKET_ID,CUSTOMER_ID,ORDER_ID,PRODUCT_ID,CUSTOMER_MESSAGE,CREATED_AT
1001,41,1409,4,"Dzień dobry, chciałabym zwrócić sukienkę z zamówienia, ponieważ niestety okazała się za mała. Rozmiarówka na stronie różni się trochę od rzeczywistości. Proszę o instrukcję, na jaki adres odesłać paczkę.",2026-04-02
1002,9,9935,4,"Otrzymałem uszkodzony sprzęt i nikt nie odpisuje na moje maile. Składam oficjalną skargę do Rzecznika Praw Konsumenta. Będziecie mieli poważne problemy prawne, gwarantuję wam to. Widzimy się w sądzie.",2026-04-08
1003,2,4582,3,"Produkt kompletnie niezgodny z opisem na stronie. Zamiast wełnianego swetra dostałem jakiś poliestrowy worek. Czuję się oszukany i okradziony. Oddawajcie moje pieniądze, to jest po prostu żałosne.",2026-04-09
1004,36,9928,7,"Ile można czekać na przesyłkę?! Minęły dwa tygodnie, a status zamówienia to dalej 'w przygotowaniu'. Wasza obsługa klienta to dno, nikt nic nie wie. Chcę anulować to zamówienie i żądam zwrotu kasy. Fatalna firma.",2026-03-22
1005,18,3615,1,"Witam, omyłkowo zamówiłem dwa takie same zegarki zamiast jednego. Czy jest możliwość anulowania jednego z nich przed wysyłką? Pozdrawiam serdecznie.",2026-04-01
1006,10,6514,7,"Otrzymałem uszkodzony sprzęt i nikt nie odpisuje na moje maile. Składam oficjalną skargę do Rzecznika Praw Konsumenta. Będziecie mieli poważne problemy prawne, gwarantuję wam to. Widzimy się w sądzie.",2026-04-06
1007,23,5333,12,"Cześć, przesyłam formularz odstąpienia od umowy dla butów zimowych. Wszystko z nimi w porządku, ale kolor nie pasuje mi do kurtki. Paczkę wysłałem wczoraj kurierem. Czekam na zwrot środków.",2026-03-26
1008,35,7201,4,"Otrzymałem uszkodzony sprzęt i nikt nie odpisuje na moje maile. Składam oficjalną skargę do Rzecznika Praw Konsumenta. Będziecie mieli poważne problemy prawne, gwarantuję wam to. Widzimy się w sądzie.",2026-03-14
1009,41,6925,20,"Cześć, przesyłam formularz odstąpienia od umowy dla butów zimowych. Wszystko z nimi w porządku, ale kolor nie pasuje mi do kurtki. Paczkę wysłałem wczoraj kurierem. Czekam na zwrot środków.",2026-04-07
1010,3,5741,8,"Dzień dobry. Piszę do Państwa, ponieważ mam problem z moim ostatnim zamówieniem. Zdecydowałem się na zakup drogiego ekspresu do kawy, ponieważ słyszałem o waszym sklepie same dobre opinie od znajomych z pracy. Niestety, moje doświadczenie jest zupełnie inne. Kiedy otworzyłem paczkę, zauważyłem, że karton jest lekko wgnieciony z lewej strony. Początkowo pomyślałem, że to tylko uszkodzenie transportowe i samo urządzenie jest bezpieczne. Niestety, po wyjęciu ekspresu z folii bąbelkowej okazało się, że tacka ociekowa jest pęknięta, a z dyszy spieniającej mleko kapie woda. Próbowałem uruchomić urządzenie zgodnie z instrukcją obsługi, wykonałem proces pierwszego płukania, ale maszyna wydaje bardzo głośne, nienaturalne dźwięki i nie parzy kawy prawidłowo. Woda zamiast przez kolbę, wylewa się bokiem. Biorąc pod uwagę fakt, że sprzęt kosztował ponad trzy tysiące złotych, jestem bardzo niemile zaskoczony taką kontrolą jakości. Spodziewałem się urządzenia w klasie premium, a dostałem niedziałający bubel. Chciałbym dowiedzieć się, jak wygląda w waszym sklepie procedura reklamacyjna w przypadku otrzymania fabrycznie uszkodzonego towaru. Zależy mi na szybkiej wymianie na nowy, wolny od wad egzemplarz, ewentualnie na zwrocie pełnej kwoty na konto, z którego dokonałem płatności. Proszę o pilną odpowiedź w tej sprawie, ponieważ jestem bez porannej kawy.",2026-03-13
1011,15,7227,4,"Produkt kompletnie niezgodny z opisem na stronie. Zamiast wełnianego swetra dostałem jakiś poliestrowy worek. Czuję się oszukany i okradziony. Oddawajcie moje pieniądze, to jest po prostu żałosne.",2026-03-14
1012,24,7065,6,"Produkt kompletnie niezgodny z opisem na stronie. Zamiast wełnianego swetra dostałem jakiś poliestrowy worek. Czuję się oszukany i okradziony. Oddawajcie moje pieniądze, to jest po prostu żałosne.",2026-04-01
1013,45,3803,3,"Dzień dobry, chciałabym zwrócić sukienkę z zamówienia, ponieważ niestety okazała się za mała. Rozmiarówka na stronie różni się trochę od rzeczywistości. Proszę o instrukcję, na jaki adres odesłać paczkę.",2026-04-04
1014,30,5422,13,"Dzień dobry. Piszę do Państwa, ponieważ mam problem z moim ostatnim zamówieniem. Zdecydowałem się na zakup drogiego ekspresu do kawy, ponieważ słyszałem o waszym sklepie same dobre opinie od znajomych z pracy. Niestety, moje doświadczenie jest zupełnie inne. Kiedy otworzyłem paczkę, zauważyłem, że karton jest lekko wgnieciony z lewej strony. Początkowo pomyślałem, że to tylko uszkodzenie transportowe i samo urządzenie jest bezpieczne. Niestety, po wyjęciu ekspresu z folii bąbelkowej okazało się, że tacka ociekowa jest pęknięta, a z dyszy spieniającej mleko kapie woda. Próbowałem uruchomić urządzenie zgodnie z instrukcją obsługi, wykonałem proces pierwszego płukania, ale maszyna wydaje bardzo głośne, nienaturalne dźwięki i nie parzy kawy prawidłowo. Woda zamiast przez kolbę, wylewa się bokiem. Biorąc pod uwagę fakt, że sprzęt kosztował ponad trzy tysiące złotych, jestem bardzo niemile zaskoczony taką kontrolą jakości. Spodziewałem się urządzenia w klasie premium, a dostałem niedziałający bubel. Chciałbym dowiedzieć się, jak wygląda w waszym sklepie procedura reklamacyjna w przypadku otrzymania fabrycznie uszkodzonego towaru. Zależy mi na szybkiej wymianie na nowy, wolny od wad egzemplarz, ewentualnie na zwrocie pełnej kwoty na konto, z którego dokonałem płatności. Proszę o pilną odpowiedź w tej sprawie, ponieważ jestem bez porannej kawy.",2026-03-20
1015,45,4598,18,"Dzień dobry, chciałabym zwrócić sukienkę z zamówienia, ponieważ niestety okazała się za mała. Rozmiarówka na stronie różni się trochę od rzeczywistości. Proszę o instrukcję, na jaki adres odesłać paczkę.",2026-04-02
1016,3,7572,11,"Jestem skrajnie rozczarowana jakością tego produktu. Pudełko było pogniecione, a materiał to jakiś tani plastik. Wyrzuciłam pieniądze w błoto. Beznadzieja, nigdy więcej nic u was nie kupię, odradzę was wszystkim znajomym. Koszmar!",2026-03-11
1017,37,4483,11,"Witam, omyłkowo zamówiłem dwa takie same zegarki zamiast jednego. Czy jest możliwość anulowania jednego z nich przed wysyłką? Pozdrawiam serdecznie.",2026-03-12
1018,42,3340,15,"Jestem skrajnie rozczarowana jakością tego produktu. Pudełko było pogniecione, a materiał to jakiś tani plastik. Wyrzuciłam pieniądze w błoto. Beznadzieja, nigdy więcej nic u was nie kupię, odradzę was wszystkim znajomym. Koszmar!",2026-03-17
1019,36,5304,18,"Witam, omyłkowo zamówiłem dwa takie same zegarki zamiast jednego. Czy jest możliwość anulowania jednego z nich przed wysyłką? Pozdrawiam serdecznie.",2026-03-12
1020,38,6930,13,"Jestem skrajnie rozczarowana jakością tego produktu. Pudełko było pogniecione, a materiał to jakiś tani plastik. Wyrzuciłam pieniądze w błoto. Beznadzieja, nigdy więcej nic u was nie kupię, odradzę was wszystkim znajomym. Koszmar!",2026-03-24
1021,32,1771,3,"Dzień dobry, chciałabym zwrócić sukienkę z zamówienia, ponieważ niestety okazała się za mała. Rozmiarówka na stronie różni się trochę od rzeczywistości. Proszę o instrukcję, na jaki adres odesłać paczkę.",2026-03-20
